accuracy,std,time,features,model
0.7906985559130995,0.013485886778423994,92.75970578193665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 38, 39, 40, 41, 44, 48, 60, 66, 69, 74, 84, 92, 93, 110, 111, 113, 138, 147, 181, 186, 216, 240, 244, 270, 281, 284, 289, 291, 313, 334, 337, 359, 383, 389, 395, 397, 399, 417, 419, 462, 468, 469, 493, 499, 504, 540, 544, 548, 575, 589, 591, 627, 630, 632, 634, 641, 644, 662, 673, 677, 678, 690, 692, 701, 707, 716, 721, 731, 734]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0,
              learning_rate=0.1, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=None, n_estimators=100, n_jobs=1,
              nthread=None, objective='binary:logistic', random_state=1,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
              silent=None, subsample=1, verbosity=1)"
0.7885711920701106,0.015089002745597763,6.990094900131226,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 38, 39, 40, 41, 44, 48, 60, 66, 69, 74, 84, 92, 93, 110, 111, 113, 138, 147, 181, 186, 216, 240, 244, 270, 281, 284, 289, 291, 313, 334, 337, 359, 383, 389, 395, 397, 399, 417, 419, 462, 468, 469, 493, 499, 504, 540, 544, 548, 575, 589, 591, 627, 630, 632, 634, 641, 644, 662, 673, 677, 678, 690, 692, 701, 707, 716, 721, 731, 734]","LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=-1,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=100, n_jobs=-1, num_leaves=31, objective=None,
               random_state=1, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)"
0.789937918404089,0.012442443706353317,25.09897494316101,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 38, 39, 40, 41, 44, 48, 60, 66, 69, 74, 84, 92, 93, 110, 111, 113, 138, 147, 181, 186, 216, 240, 244, 270, 281, 284, 289, 291, 313, 334, 337, 359, 383, 389, 395, 397, 399, 417, 419, 462, 468, 469, 493, 499, 504, 540, 544, 548, 575, 589, 591, 627, 630, 632, 634, 641, 644, 662, 673, 677, 678, 690, 692, 701, 707, 716, 721, 731, 734]","RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=1, verbose=0,
                       warm_start=False)"
0.7926961002410835,0.012842193974353737,69.95575070381165,"[0, 1, 3, 4, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 64, 67, 75, 87, 98, 109, 131, 141, 167, 173, 181, 189, 190, 204, 211, 241, 246, 269, 279, 280, 281, 282, 292, 293, 309, 314, 328, 334, 344, 383, 390, 393, 400, 417, 441, 444, 448, 449, 451, 452, 464, 467, 473, 484, 486, 509, 511, 519, 532, 540, 544, 564, 571, 586, 591, 611, 617, 619, 623, 630, 662, 710, 712, 714, 720]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0,
              learning_rate=0.1, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=None, n_estimators=100, n_jobs=1,
              nthread=None, objective='binary:logistic', random_state=1,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
              silent=None, subsample=1, verbosity=1)"
0.7911716866534916,0.013940679551352782,6.225832939147949,"[0, 1, 3, 4, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 64, 67, 75, 87, 98, 109, 131, 141, 167, 173, 181, 189, 190, 204, 211, 241, 246, 269, 279, 280, 281, 282, 292, 293, 309, 314, 328, 334, 344, 383, 390, 393, 400, 417, 441, 444, 448, 449, 451, 452, 464, 467, 473, 484, 486, 509, 511, 519, 532, 540, 544, 564, 571, 586, 591, 611, 617, 619, 623, 630, 662, 710, 712, 714, 720]","LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=-1,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=100, n_jobs=-1, num_leaves=31, objective=None,
               random_state=1, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)"
0.789228084334399,0.010725893545133381,21.870378971099854,"[0, 1, 3, 4, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 64, 67, 75, 87, 98, 109, 131, 141, 167, 173, 181, 189, 190, 204, 211, 241, 246, 269, 279, 280, 281, 282, 292, 293, 309, 314, 328, 334, 344, 383, 390, 393, 400, 417, 441, 444, 448, 449, 451, 452, 464, 467, 473, 484, 486, 509, 511, 519, 532, 540, 544, 564, 571, 586, 591, 611, 617, 619, 623, 630, 662, 710, 712, 714, 720]","RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=1, verbose=0,
                       warm_start=False)"
0.7907251820197903,0.011691261611652454,69.67974495887756,"[0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 41, 51, 53, 55, 57, 74, 79, 90, 93, 98, 121, 122, 170, 171, 193, 202, 223, 250, 264, 267, 282, 294, 299, 301, 310, 315, 323, 356, 362, 366, 369, 379, 393, 422, 440, 455, 457, 459, 464, 466, 478, 484, 509, 514, 521, 527, 529, 530, 549, 554, 579, 598, 635, 636, 652, 663, 665, 668, 683, 690, 696, 699, 713, 714, 723, 730]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0,
              learning_rate=0.1, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=None, n_estimators=100, n_jobs=1,
              nthread=None, objective='binary:logistic', random_state=1,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
              silent=None, subsample=1, verbosity=1)"
0.7905410411083632,0.01181297783687706,6.923695087432861,"[0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 41, 51, 53, 55, 57, 74, 79, 90, 93, 98, 121, 122, 170, 171, 193, 202, 223, 250, 264, 267, 282, 294, 299, 301, 310, 315, 323, 356, 362, 366, 369, 379, 393, 422, 440, 455, 457, 459, 464, 466, 478, 484, 509, 514, 521, 527, 529, 530, 549, 554, 579, 598, 635, 636, 652, 663, 665, 668, 683, 690, 696, 699, 713, 714, 723, 730]","LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=-1,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=100, n_jobs=-1, num_leaves=31, objective=None,
               random_state=1, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)"
0.7889390600156584,0.01105973705448166,22.757170915603638,"[0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 41, 51, 53, 55, 57, 74, 79, 90, 93, 98, 121, 122, 170, 171, 193, 202, 223, 250, 264, 267, 282, 294, 299, 301, 310, 315, 323, 356, 362, 366, 369, 379, 393, 422, 440, 455, 457, 459, 464, 466, 478, 484, 509, 514, 521, 527, 529, 530, 549, 554, 579, 598, 635, 636, 652, 663, 665, 668, 683, 690, 696, 699, 713, 714, 723, 730]","RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=1, verbose=0,
                       warm_start=False)"
0.7890964023715168,0.013518981141808557,69.72422003746033,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 53, 75, 92, 113, 116, 125, 128, 132, 136, 141, 145, 156, 164, 182, 187, 218, 229, 237, 241, 251, 253, 257, 260, 272, 281, 284, 292, 293, 300, 311, 315, 329, 367, 370, 373, 386, 387, 389, 393, 410, 426, 427, 432, 435, 445, 449, 481, 493, 527, 556, 562, 580, 592, 597, 629, 631, 679, 683, 703, 705, 709, 718, 719, 724, 726]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0,
              learning_rate=0.1, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=None, n_estimators=100, n_jobs=1,
              nthread=None, objective='binary:logistic', random_state=1,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
              silent=None, subsample=1, verbosity=1)"
